date,electricity_consumption,water_consumption
2020-01-01,99.88,53.57
2020-01-02,111.44,53.01
2020-01-03,113.79,49.46
2020-01-04,116.32,55.39
2020-01-05,113.89,54.54
2020-01-06,115.28,54.36
2020-01-07,111.67,51.54
2020-01-08,108.34,51.77
2020-01-09,104.49,49.58
2020-01-10,107.87,52.79
2020-01-11,116.42,51.12
2020-01-12,106.92,46.28
2020-01-13,103.12,48.75
2020-01-14,102.9,47.46
2020-01-15,107.82,54.0
2020-01-16,108.11,52.69
2020-01-17,111.26,52.38
2020-01-18,114.4,53.47
2020-01-19,116.52,54.51
2020-01-20,118.08,58.34
2020-01-21,118.29,53.75
2020-01-22,114.34,51.31
2020-01-23,111.98,56.7
2020-01-24,113.03,52.24
2020-01-25,117.77,51.75
2020-01-26,118.35,54.45
2020-01-27,123.7,53.43
2020-01-28,120.67,55.41
2020-01-29,110.8,52.2
2020-01-30,108.87,51.08
2020-01-31,111.23,56.22
2020-02-01,121.54,50.88
2020-02-02,120.46,56.12
2020-02-03,120.35,55.23
2020-02-04,106.52,49.14
2020-02-05,100.18,49.21
2020-02-06,91.06,45.44
2020-02-07,116.05,51.76
2020-02-08,119.42,56.16
2020-02-09,120.96,55.21
2020-02-10,122.93,56.3
2020-02-11,117.67,57.97
2020-02-12,119.05,53.25
2020-02-13,106.8,54.7
2020-02-14,113.27,52.01
2020-02-15,119.04,53.63
2020-02-16,121.53,55.86
2020-02-17,127.97,60.02
2020-02-18,122.84,55.28
2020-02-19,121.17,55.02
2020-02-20,115.45,57.29
2020-02-21,111.35,56.48
2020-02-22,127.25,56.1
2020-02-23,123.78,59.58
2020-02-24,118.82,54.52
2020-02-25,118.17,57.38
2020-02-26,114.06,54.04
2020-02-27,116.27,52.6
2020-02-28,112.53,53.29
2020-02-29,126.41,57.34
2020-03-01,126.6,57.12
2020-03-02,125.88,55.5
2020-03-03,123.82,56.05
2020-03-04,117.94,55.5
2020-03-05,99.86,49.59
2020-03-06,103.46,52.46
2020-03-07,115.27,57.89
2020-03-08,117.77,59.8
2020-03-09,124.15,60.7
2020-03-10,122.61,56.33
2020-03-11,119.94,54.15
2020-03-12,115.12,51.97
2020-03-13,116.71,55.71
2020-03-14,120.33,60.0
2020-03-15,128.15,60.6
2020-03-16,124.56,57.88
2020-03-17,127.89,59.39
2020-03-18,119.33,53.71
2020-03-19,117.89,54.71
2020-03-20,121.75,57.1
2020-03-21,130.36,58.34
2020-03-22,124.03,58.64
2020-03-23,124.44,56.86
2020-03-24,130.6,59.46
2020-03-25,124.41,58.28
2020-03-26,117.49,54.72
2020-03-27,119.47,55.87
2020-03-28,133.22,59.22
2020-03-29,125.73,58.62
2020-03-30,127.8,55.57
2020-03-31,126.54,54.81
2020-04-01,116.7,57.46
2020-04-02,118.44,54.99
2020-04-03,122.08,57.72
2020-04-04,125.17,60.05
2020-04-05,132.1,60.16
2020-04-06,131.44,59.01
2020-04-07,129.44,63.58
2020-04-08,126.63,55.54
2020-04-09,120.62,56.95
2020-04-10,122.03,57.85
2020-04-11,129.47,58.88
2020-04-12,126.46,59.01
2020-04-13,132.75,62.52
2020-04-14,127.18,59.92
2020-04-15,124.44,56.51
2020-04-16,115.84,53.07
2020-04-17,124.91,55.53
2020-04-18,123.07,61.86
2020-04-19,129.83,59.46
2020-04-20,131.41,61.23
2020-04-21,127.71,59.29
2020-04-22,128.85,56.99
2020-04-23,119.47,56.95
2020-04-24,122.31,59.69
2020-04-25,137.47,60.77
2020-04-26,130.23,58.97
2020-04-27,136.46,59.22
2020-04-28,136.15,59.53
2020-04-29,125.75,61.36
2020-04-30,118.0,56.9
2020-05-01,126.49,56.07
2020-05-02,135.75,61.16
2020-05-03,139.22,61.15
2020-05-04,136.41,62.64
2020-05-05,135.17,61.77
2020-05-06,114.84,53.49
2020-05-07,112.7,55.19
2020-05-08,111.06,58.73
2020-05-09,133.93,62.83
2020-05-10,136.22,63.23
2020-05-11,130.92,66.17
2020-05-12,140.36,62.35
2020-05-13,136.15,58.55
2020-05-14,129.72,61.53
2020-05-15,129.52,58.52
2020-05-16,135.56,66.12
2020-05-17,138.19,63.2
2020-05-18,141.66,61.51
2020-05-19,135.39,62.82
2020-05-20,138.06,58.48
2020-05-21,133.94,59.29
2020-05-22,146.54,61.84
2020-05-23,151.39,67.48
2020-05-24,157.11,63.32
2020-05-25,137.21,65.86
2020-05-26,140.38,66.55
2020-05-27,137.24,63.41
2020-05-28,123.6,59.37
2020-05-29,130.53,60.77
2020-05-30,141.99,67.53
2020-05-31,140.43,65.88
2020-06-01,141.42,66.55
2020-06-02,141.31,69.07
2020-06-03,137.62,59.43
2020-06-04,134.73,63.65
2020-06-05,138.36,58.56
2020-06-06,142.4,67.66
2020-06-07,143.46,68.73
2020-06-08,140.87,67.94
2020-06-09,143.41,64.39
2020-06-10,137.19,67.73
2020-06-11,130.25,62.16
2020-06-12,138.61,62.82
2020-06-13,144.87,67.77
2020-06-14,140.17,64.97
2020-06-15,145.89,66.46
2020-06-16,143.21,70.01
2020-06-17,139.83,67.12
2020-06-18,135.52,62.66
2020-06-19,133.56,61.93
2020-06-20,144.32,65.43
2020-06-21,142.26,66.15
2020-06-22,145.13,64.43
2020-06-23,148.53,67.82
2020-06-24,138.19,63.53
2020-06-25,130.08,62.64
2020-06-26,126.83,66.25
2020-06-27,143.18,66.83
2020-06-28,141.07,66.27
2020-06-29,141.31,67.44
2020-06-30,129.15,62.17
2020-07-01,121.33,61.65
2020-07-02,120.83,57.84
2020-07-03,123.39,58.13
2020-07-04,143.82,65.71
2020-07-05,135.8,64.69
2020-07-06,141.34,65.68
2020-07-07,137.83,64.56
2020-07-08,141.23,65.18
2020-07-09,132.59,62.18
2020-07-10,131.93,60.09
2020-07-11,135.9,67.37
2020-07-12,137.2,65.77
2020-07-13,137.38,64.05
2020-07-14,137.9,64.4
2020-07-15,137.46,61.59
2020-07-16,128.55,56.51
2020-07-17,131.41,63.74
2020-07-18,136.22,63.61
2020-07-19,143.56,63.61
2020-07-20,141.17,65.36
2020-07-21,138.59,61.11
2020-07-22,129.98,62.4
2020-07-23,127.68,59.2
2020-07-24,132.01,58.2
2020-07-25,133.22,61.76
2020-07-26,129.71,59.7
2020-07-27,130.43,63.98
2020-07-28,134.88,61.75
2020-07-29,129.59,61.97
2020-07-30,125.99,57.75
2020-07-31,126.5,59.22
2020-08-01,128.89,60.82
2020-08-02,130.26,60.33
2020-08-03,126.95,59.01
2020-08-04,127.97,57.77
2020-08-05,115.75,54.88
2020-08-06,117.52,55.38
2020-08-07,122.33,55.75
2020-08-08,124.64,61.1
2020-08-09,125.96,57.91
2020-08-10,134.16,56.48
2020-08-11,120.87,57.48
2020-08-12,120.47,57.82
2020-08-13,116.36,56.4
2020-08-14,117.37,55.47
2020-08-15,125.21,57.86
2020-08-16,126.76,59.53
2020-08-17,129.23,56.21
2020-08-18,119.63,57.43
2020-08-19,122.59,53.97
2020-08-20,105.25,54.85
2020-08-21,116.96,53.74
2020-08-22,121.22,56.62
2020-08-23,120.19,54.28
2020-08-24,123.72,55.93
2020-08-25,118.34,53.6
2020-08-26,109.0,53.46
2020-08-27,104.98,51.58
2020-08-28,119.15,52.94
2020-08-29,120.01,54.26
2020-08-30,117.18,54.31
2020-08-31,118.56,52.0
2020-09-01,115.11,51.5
2020-09-02,115.15,50.76
2020-09-03,103.37,49.18
2020-09-04,107.28,51.64
2020-09-05,111.84,50.35
2020-09-06,111.78,52.07
2020-09-07,113.05,52.42
2020-09-08,114.46,52.28
2020-09-09,113.23,47.88
2020-09-10,104.05,49.96
2020-09-11,103.74,47.62
2020-09-12,113.73,51.75
2020-09-13,108.71,55.21
2020-09-14,112.77,52.87
2020-09-15,116.49,52.09
2020-09-16,104.69,48.18
2020-09-17,103.48,46.22
2020-09-18,101.89,45.37
2020-09-19,110.13,54.05
2020-09-20,110.16,52.82
2020-09-21,109.89,51.71
2020-09-22,113.28,50.68
2020-09-23,107.77,44.94
2020-09-24,97.11,48.06
2020-09-25,113.0,49.94
2020-09-26,114.38,49.37
2020-09-27,105.41,49.79
2020-09-28,108.04,49.65
2020-09-29,118.66,52.66
2020-09-30,107.24,49.97
2020-10-01,101.58,45.36
2020-10-02,108.91,49.08
2020-10-03,113.23,48.8
